DATAFLOW,FREQ,ESITO,ITTER107,TIPO_DATO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:41_983(1.0),A,F,072006,KILLINJ,2001,3047,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2002,3123,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2003,2663,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2004,3566,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2005,3190,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2006,3544,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2007,3470,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2008,3475,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2009,3692,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2010,3254,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2011,2979,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2012,2512,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2013,2807,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2014,2664,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2015,2483,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2016,2269,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2017,2431,,,,,,,,,
IT1:41_983(1.0),A,F,072006,KILLINJ,2018,2459,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2001,3764,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2002,3454,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2003,3299,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2004,3397,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2005,3510,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2006,3618,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2007,3647,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2008,3575,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2009,3593,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2010,3447,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2011,3611,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2012,3285,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2013,3294,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2014,3040,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2015,2787,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2016,3136,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2017,2977,,,,,,,,,
IT1:41_983(1.0),A,F,082053,KILLINJ,2018,2787,,,,,,,,,
